Course Code,Course Description
ADM 1100 Introduction to Business (3 units),"Gain the knowledge necessary to effectively understand the functions of business and management. Learn what constitutes the manager's role and how planning, organizing, leading, and controlling are used to oversee the organization's human, financial, material, and commercial resources. Develop critical business skills including communication and teamwork skills, problem solving and critical thinking skills."
ADM 1101 Business and Society (3 units),"Understand business within its changing socio-economic, political and technological environments. Learn to distinguish between and properly utilize collaborative governance mechanisms that join private, public and civic organizations. Address real-world themes of ethical management, corporate social responsibility, sustainability, diversity and inclusion and strategic governance that arise within the social context of business."
ADM 1300 Introduction to Business (3 units),"Gain the knowledge necessary to effectively understand the functions of business and management. Learn what constitutes the manager's role and how planning, organizing, leading, and controlling are used to oversee the organization's human, financial, material, and commercial resources. Develop critical business skills including communication and teamwork skills, problem solving and critical thinking skills."
ADM 1301 Business and Society (3 units),"Understand business within its changing socio-economic, political and technological environments. Learn to distinguish between and properly utilize collaborative governance mechanisms that join private, public and civic organizations. Address real-world themes of ethical management, corporate social responsibility, sustainability, diversity and inclusion and strategic governance that arise within the social context of business."
ADM 1305 Mathematics for Business (3 units),"Fundamental mathematical skills required for problem solving and decision making in business through use of mathematical models and specialized techniques. Functions as mathematical models, equation-solving techniques, differential and integral calculus, exponential and partial derivatives and their applications in economic functions."
ADM 1340 Financial Accounting (3 units),"This course introduces students to the financial statements of an organization and the accounting system that produces them. Emphasis is placed on understanding the role the financial statements play in communicating meaningful information about the firm, and how estimates and accounting policy choices affect the numbers in the statements."
ADM 1370 Applications of Information Technology for Business (3 units),"Introduction to information technology tools to support operational, tactical and strategic level processes and decision making in an organization. Business applications and problem solving using spreadsheets, databases and collaborative tools. Introduction to specific IT tools used to support operations and decision making within the various functional areas of an organization, including marketing, sales and customer service, human resources, finance and accounting. Introduction to business intelligence and performance management concepts and tools."
ADM 1500 Introduction à la gestion (3 crédits),"Dispense aux étudiants les connaissances de base nécessaires à la gestion. Apprentissage du rôle du gestionnaire et comment la planification, l’organisation, la direction et le contrôle sont utilisés pour superviser la mise en œuvre des ressources humaines, financières, matérielles et commerciales. Développer des compétences de gestion essentielles, y compris la communication, le travail d’équipe, la résolution de problèmes et la pensée critique."
ADM 1501 Gestion et société (3 crédits),"Comprendre la gestion dans les contextes changeants des environnements socio-économique, politique et technologique. Apprendre à différencier et utiliser de manière appropriée les mécanismes de gouvernance coopérative qui lient les organismes privés, publics et communautaires. Adresser les thèmes de gestion du monde réel tels que la gestion éthique, la responsabilité sociale des entreprises, la durabilité, la diversité et l’inclusion et la gouvernance stratégique qui surviennent dans le contexte social du monde des affaires."
ADM 1700 Introduction à la gestion (3 crédits),"Dispense aux étudiants les connaissances de base nécessaires à la gestion. Apprentissage du rôle du gestionnaire et comment la planification, l’organisation, la direction et le contrôle sont utilisés pour superviser la mise en œuvre des ressources humaines, financières, matérielles et commerciales. Développer des compétences de gestion essentielles, y compris la communication, le travail d’équipe, la résolution de problèmes et la pensée critique."
ADM 1701 Gestion et société (3 crédits),"Comprendre la gestion dans les contextes changeants des environnements socio-économique, politique et technologique. Apprendre à différencier et utiliser de manière appropriée les mécanismes de gouvernance coopérative qui lient les organismes privés, publics et communautaires. Adresser les thèmes de gestion du monde réel tels que la gestion éthique, la responsabilité sociale des entreprises, la durabilité, la diversité et l’inclusion et la gouvernance stratégique qui surviennent dans le contexte social du monde des affaires."
ADM 1705 Mathématiques pour la gestion (3 crédits),"Compétences mathématiques fondamentales requises pour la résolution de problèmes et la prise de décision en gestion grâce à l’utilisation de modèles mathématiques et de techniques spécialisées. Fonctions comme modèles mathématiques, techniques de résolution d’équations, calcul différentiel et intégral, dérivées exponentielles et partielles et leurs applications dans les fonctions économiques."
ADM 1740 Comptabilité financière (3 crédits),Ce cours initie les étudiants aux états financiers d'une organisation ainsi qu'au système comptable qui les produit. L'accent est mis sur la compréhension du rôle joué par les états financiers dans la communication d'informations pertinentes au sujet de l'entreprise. Il présente également les effets des estimations et choix de conventions comptables sur les données présentées dans les états financiers.
ADM 1770 Applications des technologies de l'information en gestion (3 crédits),"Introduction à l'utilisation des outils en technologie de l'information dans le but de supporter les processus opérationnels, stratégiques et tactiques ainsi que les prises de décision au sein des organisations.  Les applications d'affaires et la résolution de problèmes par l'utilisation de tableurs, de bases de données et d'outils de collaboration. Introduction aux outils spécifiques en technologie de l'information pour soutenir tous les aspects des opérations et des prises de décisions dans une organisation, incluant le marketing, les ventes, le service à la clientèle, les ressources humaines, les finances, et la comptabilité. Introduction à l'intelligence concurrentielle et aux principes et outils de gestion de la performance."
ADM 2302 Business Analytics (3 units),"Introduction to problem solving techniques with the focus on decision making for efficiency, profitability, and sustainability. Tools for structured problem solving applicable in the areas of management, finance, marketing, organizational planning, transportation, operations, and allocation of scarce resources. Emphasis on computer-based modeling approaches to facilitate formulation, resolution, and interpretation of the results."
ADM 2303 Statistics for Management (3 units),"Introduction to the use of statistical methods and tools in business,  Data exploration. Descriptive statistics including graphical representation of data, measure of central tendency and dispersion.  Applications of random variables and their probability distribution in business.  Useful probability distributions in management, including binomial, Poisson, normal, exponential and uniform distributions.  Introduction to statistical process control and quality improvement.  Hands-on experience with Excel and/or Minitab. (The lab is optional.)"
ADM 2304 Applications of Statistical Methods in Business (3 units),Topics include the estimation (using confidence intervals) and hypothesis testing (including non-parametric methods); correlation and the simple linear regression model (with extensions to multiple regression); and chi-square tests on qualitative data. Emphasis on understanding when and how to use (and not misuse) various methods.  Hands-on experience with statistical software tools. (The lab is optional.)
ADM 2313 The Entrepreneurial Society (3 units),The entrepreneurial process and characteristics of the entrepreneur; social entrepreneurship; intrapreneurship; women and minorities in entrepreneurship; entrepreneurial failure; entrepreneurship as an economic development strategy and resulting programs and policies; steps in moving entrepreneurial endeavors forward; introduction to ideation and business planning.
ADM 2320 Marketing (3 units),"Focus on the evolution of the marketing concept, segmentation and positioning, strategic decisions involving product, price, distribution and promotion, important environmental variables affecting marketing decision-making, as well as marketing planning and ethical issues."
ADM 2336 Organizational Behaviour (3 units),"Concepts and approaches for diagnosing and predicting events in organizations. Work motivation, job satisfaction and performance, group dynamics, leadership, decision-making, power, conflict and culture."
ADM 2337 Human Resource Management (3 units),"Policies and practices relating to job analysis, human resource planning, staffing, performance appraisal, training and development, wage and salary administration, and collective bargaining."
ADM 2341 Managerial Accounting (3 units),"This course introduces students to the role of management accounting, as distinct from financial accounting, in the decision-making process. Major topics include: the determination of the costs of products and services, cost behaviour, relevant costs, standard costs, budgeting, responsibility accounting and cost allocation. All topics are approached in a management context in order to give the student an appreciation of the value of the various techniques available for the analysis and solution of problems faced by managers."
ADM 2342 Intermediate Accounting I (3 units),"This course extends, at a more advanced level, the material covered in ADM 1340. Concepts and procedures, including current and proposed accounting practices, are studied within the context of specific balance sheet and income statement items with specific emphasis on the assets of an organization. In conjunction with ADM 3340, it enhances the student's understanding of accounting practices and financial reporting."
ADM 2350 Financial Management (3 units),"Financial environment and markets, concepts of valuation, risk and return, cost of capital, capital budgeting under certainty, long-term financing, working capital management, and short-term financing."
ADM 2352 Finance Theory (3 units),"Key theoretical paradigms of modern finance. Arbitrage, expected utility, risk aversion, trade-offs between risk and return, behavioural and the concepts of prospect theory, framing, mental accounting, agency relationships, and information asymmetry."
ADM 2372 Management Information Systems (3 units),"Introduction to management information systems, their underlying infrastructure and technology, and their impacts on organizations and individuals. Applications of information systems at the operational and decision making levels. Electronic business. Ethical and legal issues. Security and quality issues. Advanced topics including knowledge management and business intelligence."
ADM 2381 Business Communication Skills (3 units),"Develop effective written and oral business communication skills.  Emphasis will be on quality in business written communications; strategies for planning and implementing effective communication to different audiences, including oral communication and presentations in front of an audience."
ADM 2702 Analytique de gestion (3 crédits),"Introduction aux méthodes de  résolution de problèmes, plus particulièrement la prise de décision pour l'efficacité, la profitabilité et la durabilité. Outils pour la résolution de problèmes structurée, applicables dans les domaines de la gestion, de la finance, du marketing, de la planification organisationnelle, du transport, des opérations et de l'attribution de ressources limitées. Accentuation des approches de modélisation par l'ordinateur afin de faciliter la formulation, la résolution et l'interprétation des résultats."
ADM 2703 Les statistiques en gestion (3 crédits),"Introduction à l'utilisation des statistiques en gestion: collecte de données; statistiques descriptives et représentation graphique des données; mesures de tendance centrale et de dispersion; application des variables aléatoires et de leurs distributions de probabilité en gestion; exploration des lois les plus usuelles en gestion - binomiale, Poisson, exponentielle, normale et la loi uniforme; introduction au contrôle statistique de la qualité. Utilisation de logiciels d'analyse statistique."
ADM 2704 Application des méthodes statistiques en gestion (3 crédits),"Estimation ponctuelle et par intervalles de confiance; test d'hypothèses paramétriques et non-paramétriques; corrélation et modèle de régression linéaire simple avec un aperçu du modèle de régression linéaire multiple; test du chi-deux avec données qualitatives. Ce cours vise à développer une bonne compréhension de l'utilisation de ces méthodes de leur domaine d'application en gestion, et des erreurs à éviter. Utilisation de logiciels d`analyse statistique."
ADM 2713 La société entrepreneuriale (3 crédits),Le processus entrepreneurial et les caractéristiques de l'entrepreneur; l'entrepreneuriat social; l'intrapreneuriat; entrepreneuriat féminin et l'entrepreneuriat en milieu minoritaire ; l'échec entrepreneurial; l'entrepreneuriat comme stratégie de développement économique et les programmes et politiques qui en découlent; les étapes pour faire avancer les projets entrepreneuriaux; introduction à l'idéation et à la planification d'affaires.
ADM 2720 Marketing (3 crédits),"Évolution du concept de marketing, stratégies de segmentation et de positionnement, décisions stratégiques concernant le produit, le prix, la distribution, la communication. Impact des variables de l'environnement sur les prises de décisions aussi bien que la planification en marketing. Considérations éthiques de la pratique du marketing."
ADM 2736 Comportement organisationnel (3 crédits),"Ensemble de notions et modèles utiles au diagnostic et à la prédiction de phénomènes organisationnels. Motivation au travail, satisfaction et rendement, dynamique de groupe, leadership, prise de décision, pouvoir, conflits et questions relatives à la culture."
ADM 2737 Gestion des ressources humaines (3 crédits),"Politiques et pratiques relatives à l'analyse de tâches, planification des ressources humaines, dotation, évaluation du rendement, formation et perfectionnement, rémunération et relations de travail."
ADM 2738 Gestion des ressources humaines en milieu Innu (3 crédits),Aspects institutionnels de la gestion des ressources humaines : caractère non partisan de l'administration publique; principe du mérite; équité en matière d'emploi. Recrutement et formation. Sélection des employés. Rémunération. Politiques et gestion du personnel. Évaluation de la performance. Relations de travail. Droit du travail général. Santé et sécurité au travail.
ADM 2741 Comptabilité de gestion (3 crédits),"Ce cours a pour but d'initier l'étudiant au rôle de la comptabilité de gestion, rôle qui diffère de celui de la comptabilité financière, dans le processus de prise de décision. Les principaux sujets traités comprennent la détermination des coûts des produits et services, le comportement des coûts,  les coûts pertinents, les coûts standards, les budgets, la comptabilité par centre de responsabilité et l'allocation des coûts. Ces sujets sont abordés sous l'angle de la gestion afin de permettre à l'étudiant de comprendre les techniques d'analyse et de solution des problèmes rencontrés par les gestionnaires."
ADM 2742 Comptabilité intermédiaire I (3 crédits),"Ce cours reprend, de façon plus approfondie, le contenu du cours ADM 1740. Les principes et les méthodes comptables actuelles et proposées sont étudiés dans le contexte d'éléments particuliers du bilan et de l'état des résultats. Un intérêt particulier sera porté sur l'étude des actifs de l'entreprise. Conjointement avec ADM 3740, le cours a pour but de donner à l'étudiant une bonne compréhension des pratiques comptables et des états financiers."
ADM 2750 Gestion financière (3 crédits),"Environnement et marchés financiers, évaluation financière, choix des investissements en certitude, relation rendement-risque, financement à long terme, coût du capital, financement à court terme et gestion du fond de roulement."
ADM 2752 Théorie financière (3 crédits),"Les paradigmes théoriques clés de la finance moderne. Arbitrage, l'espérance d'utilité, l'aversion pour le risque, les compromis entre le risque et le rendement, la finance behaviorale et les concepts de la théorie des perspectives, la théorie du cadrage, la comptabilité mentale, la théorie de l'agence et l'asymétrie d'information."
ADM 2772 Systèmes d'information de gestion (3 crédits),"Introduction aux systèmes d'information de gestion, leurs infrastructures et technologies sous-jacentes, leurs impacts sur les organisations et sur les individus. Application des systèmes d'information au niveau opérationnel et à la prise de décision. Affaires électroniques. Aspects éthiques et légaux, sécurité et qualité. Sujets avancés tels que la gestion des connaissances et l'intelligence d'affaires."
ADM 2781 Habiletés de communication d'affaires (3 crédits),"Développement des techniques de communication écrite et orale en gestion. On mettra l'accent sur la qualité des communications écrites, sur les stratégies de planification et de mise en oeuvre de communications efficaces pour de multiples auditoires, y compris les communications orales et présentations devant auditoire"
ADM 2901 Stage coop / Co-op Work Term (3 crédits / 3 units),Stage coop / Co-op Work Term
ADM 3301 Operations Management (3 units),"Nature and context of Operations Management for the manufacturing and service sectors.  Operations strategy and competitiveness.  Introduction to supply chain management: supply chain strategy and design, just-in-time systems.  Planning, managing and controlling operations: forecasting, aggregate planning, inventory control, Material Requirements Planning and introduction to Enterprise Requirement Planning.  Introduction to quality management and control."
ADM 3302 Supply Chain Management (3 units),"Study of supply chain management and of its impact on the competitive success and profitability of modern organizations. The integration of information and materials flows across multiple organizations. The roles of business logistics functions, including forecasting and planning, procurement, purchasing, inventory management, warehousing and materials handling, transportation management, and after sales service and customer relationships in the integrated supply chain. Issues of global logistics and reverse logistics."
ADM 3305 Business Simulation Analytics (3 units),"Advanced prescriptive analytics introducing simulation modeling of complex problems that include both deterministic and probabilistic elements. Students will get hands-on experience with simulation and decision modeling and formulation, software and results interpretation skills."
ADM 3308 Business Data Mining (3 units),"Introduction to the data mining process, data mining tasks including classification, clustering and association rules, as well as data mining modeling techniques such as decision trees, neural networks, and regression analysis. Introduction to the management of Big Data and Big Data Analytics. Examples in various managerial applications including Customer Relationship Management, marketing, sales, credit scoring, churn, and survival analysis."
ADM 3313 New Venture Creation (3 units),"Ideation, business modeling and validation; the business planning process, including: market evaluation and the marketing plan, physical, human resources and organizational planning, and the financial plan. Student projects in moving an actual business concept through the process from idea to plan, including: crafting a business idea; building a business model; implementing a validation plan; and, writing a business plan."
ADM 3315 Social Entrepreneurship (3 units),"Ideation, social business modeling and validation; the feasibility study and planning process, including: needs assessment, market evaluation, and the marketing plan, physical, human resources, organizational and financial planning; and social and environmental impact evaluation. Includes student projects in moving an actual social enterprise concept through the process from idea to plan, including: crafting a social business or project idea; building a social business model; implementing a validation plan considering a business’ social impacts; and, constructing a feasibility plan."
ADM 3316 Competitive Intelligence (3 units),"Main elements of competitive intelligence and understanding of fundamental issues.  Concepts of competitive intelligence, market insight, foresight, peripheral vision and analytics will be used to better understand and use relevant commercial information."
ADM 3317 Varieties of Capitalism: from Medieval Merchants to Modern Multinationals (3 units),"Examines and evaluates the practices of merchants, traders, entrepreneurs, financiers, marketers and profit seekers of the 15th to the 19th centuries who contributed to the development of global business and trade. Emphasizes the dynamic intertwining of markets and their social, technological, political, economic and cultural context via the analysis and discussion of case studies, readings and other sources."
ADM 3318 International Business (3 units),"Study of the changing international business environment, from a competitive and economic perspective. With a regional and a global approach, trade patterns, the role of international institutions (IMF, WTO, CNUCED, etc.) and trading blocks (EU, NAFTA, APEC, etc.) are analyzed. Questions related to ethics, environmental issues and corporate responsibility are also considered."
ADM 3319 Cross-Cultural Management (3 units),"Diagnostic of intercultural situations in international contexts. Theoretical aspects of various disciplines linked to comparative management.  Concepts of culture, values, behaviour, intercultural communication and their relation to the dynamics of management, organizational structure, human resources, technology transfer, ethics in an intercultural context.  The intercultural team and synergy. Profile of the interculturally effective person.  The feminine entrepreneurship in international management. Monograph on the socio-political situation and the business culture of various countries.  Enterprise and Canadian diversity, Charter of Human Rights and Freedoms, legislation and policies on multiculturalism. Acculturation."
ADM 3321 Consumer Behaviour (3 units),"Synthesis of the behavioural analysis of the consumer (psychology, sociology, social psychology). Recent applications of behavioural theory will be investigated in light of the consumer's behaviour, individually and as mediated by group processes. Behavioural impact of the corporate and marketing strategies on the consumer."
ADM 3322 Services Marketing (3 units),"Concepts and decisions involved with marketing of services.  It concerns specific service industries (i.e. tourism, financial) and firms that primarily sell goods that include services (i.e. computers). Special attention is given to service quality in the profit and non-profit context."
ADM 3323 Market Research (3 units),"Review of exploratory, descriptive, and causal research methods such as interviews and focus groups, surveys, and experiments. Topics include: sample selection, the gathering, analysis and interpretation of market-related data, study of multivariate data analysis techniques, investigation of relevant applied market research topics."
ADM 3326 Advertising and Sales Promotion Management (3 units),Theory and practice of advertising and sales promotion in the context of the integrated marketing communications field. Focus on the strategy and tactics of creative and media decisions in advertising.
ADM 3333 Staffing Organizations (3 units),"In-depth study of external and internal staffing policies and practices in organizations. HR Forecasting, recruitment, selection, human rights and employment equity issues in staffing, identification and validation of selection criteria and techniques, career and succession planning, destaffing, and the relationship between the staffing process and other organizational processes."
ADM 3334 Industrial Relations (3 units),"Theories of industrial relations, structure and functions of labour organizations, union-management relations, employer-employee relations, legislation and policies regulating industrial relations, negotiation and administration of collective agreements and bargaining outcomes."
ADM 3337 Compensation Administration (3 units),"Economic and non-economic rewards, compensation, performance and satisfaction, job analysis, evaluation and internal comparisons, pay surveys and external comparisons, pay structure, merit pay, incentive pay and benefits, impact of pay equity legislation and collective bargaining on compensation."
ADM 3340 Intermediate Accounting II (3 units),"Continuation of ADM 2342. In this course, concepts and procedures, including current and proposed accounting practices, are studied within the context of specific balance sheet and income statement items with specific emphasis on the liabilities and equity of an organization."
ADM 3345 Taxation I (3 units),Provides a general knowledge of the Canadian Federal Income Tax system as it relates to individual taxpayers. The course includes the tax provisions for calculating all sources of taxpayer income to arrive at taxable income and the calculation of income taxes payable by an individual taxpayer.
ADM 3346 Cost Accounting (3 units),"An in-depth study of the principal concepts and techniques of cost analysis and cost management within the organization. The major part of the course concentrates on a mastery of the different cost accumulation systems, such as job order and process costing and cost analysis such as variance analysis. Special attention is given to the implications and integration of the different methods, techniques and studies related to the formal accounting system in the firm."
ADM 3349 Auditing Theory (3 units),"Definition of auditing. Concepts of management assertions, audit objectives, evidence, materiality and risk, internal control, audit planning, and reporting as applied to financial statements. Professional ethics, legal liability, and the responsibilities of auditors to society are also addressed."
ADM 3350 Corporate Finance (3 units),"Credit management, capital budgeting under risk, capital structure, dividend policy, mergers and acquisitions, leasing, introduction to derivates, introduction to corporate risk management."
ADM 3351 Fixed Income Investments (3 units),"Markets for debt instruments, term structure of interest rates, bond valuation, duration analysis, bond portfolio management and immunization, fixed income derivatives."
ADM 3352 Portfolio Management (3 units),"Modern portfolio theory, the capital asset pricing model, the arbitrage pricing theory, portfolio selection, efficient markets, active portfolio management and performance measurement."
ADM 3354 Financial Modeling (3 units),"Applications in MS Excel in corporate finance and investments. Using spreadsheets and functions problems are configured and solved in MS Excel on topics such as Time value of money, NPV analysis, Valuation, Cost of capital, Corporate Financial Planning, Risk and Return, CAPM, Optimization, Option pricing. Econometric software (e.g. Stata) used to learn multiple regression techniques in finance, multi-factor models, and event study methodology."
ADM 3355 Fintech (3 units),"This course is for students wishing to explore the ways in which new technologies are disrupting the financial services industry and the regulatory response to such revolution. Amongst the significant emerging technologies, the class will explore cryptocurrencies, cybersecurity, blockchain technology, FinTech and financial intermediation, encryption and information security, crowdfunding and e-entrepreneurship, digitalization and automation, machine learning, regulatory risk and law enforcement in FinTech (RegTech). This course aims to prepare students for a Fintech-Regtech-related career --either starting in their own companies, working in a Fintech company, or working on a new Fintech-related project in an established institute."
ADM 3357 Applied Investment Fund Management Module I (3 units),"Students will oversee a portfolio of Canadian equity securities, with investments made via funds donated to the program. Emphasis is on applied equity valuation and portfolio management. Comprising a two-academic year program, students must complete Module I (3 credits) in Fall of the two year program, attend financial presentations, trip to Toronto, portfolio team meetings and portfolio management activities on an ongoing basis throughout the remainder of the academic year, and end with completion of Module II (3 credits) in Winter of the second year of the program."
ADM 3358 Multinational Business Finance (3 units),"The international financial environment, foreign exchange markets and derivatives, managing transaction and economic exposures, foreign investment and financing decisions, and managing mutinational operations."
ADM 3360 Business Law (3 units),"A foundation course in law that aims to introduce the student to the fundamental concepts of the common law. It comprises a study of the Canadian legal system, principles of statutory interpretation, the role of precedent in judicial decisions, the basic elements of contract law, negligence and product liability, and certain important concepts in property law such as land tenure, mortgages, landlords and tenant and personal property."
ADM 3363 Healthcare Informatics for Managers (3 units),"Assess healthcare analytics from a data perspective, specifically how patient data is acquired, turned into information and translated into knowledge; how healthcare information systems are designed and evaluated; how different systems such as clinical, electronic health records and public health systems function and are integrated; how the benefits and barriers of e-health systems including security, privacy, ethical and legal issues are assessed."
ADM 3378 Emerging Topics in Management Information Systems (3 units),Emerging topics in the Management of Information Systems including green IT; cloud computing; social media in general and social networks in particular; mobile technologies; sustainability; IT security; auditing and ethics; feasibility assessments. Topics may vary with each offering of the course based on emerging trends in IT and its management.
"ADM 3379 Systems Analysis, Development, and Performance (3 units)","Systemic methodology for analyzing business problems or opportunities and the role of technologies in addressing business needs; articulating business requirements for technology solutions; high-level logical system characteristics including business process requirements and data design; formal methodologies for converting business requirements into solution characteristics and technical specifications; business process (re-)design and change management; systems acquisition alternatives and feasibility based on cost/benefit, ethical, cultural and legal considerations."
ADM 3396 Seminar in Administration (3 units),The seminars will focus on issues in administrative studies. The focus of these seminars should be expected to change from year to year.
ADM 3701 Gestion des opérations (3 crédits),"Nature et contexte de la gestion des opérations pour les services et la production manufacturière. Stratégies de la gestion des opérations et compétitivité. Introduction à la gestion de la chaîne d'approvisionnement : formulation des stratégies, conception de la chaîne d'approvisionnement, systèmes de juste à temps. Planifier, gérer et contrôler les opérations : prévision, planification intégrée, contrôle des inventaires, planification des besoins en matières et introduction à la planification des consommations. Introduction à gestion et au contrôle de la qualité."
ADM 3702 Gestion de la chaîne d'approvisionnement (3 crédits),"Étude de la chaîne d'approvisionnement et de son impact sur le succès des organisations modernes, notamment leur compétitivité et leur profitabilité.  Intégration des flux d'informations et de matériels à travers des multiples organisations.  Rôle des fonctions logistiques, y compris la prévision et la planification, les approvisionnements, les achats, la gestion des stocks, la tenue des entrepôts et des matériels, la gestion des transports, les services après vente et la gestion de la relation avec le client dans une chaîne intégrée d'approvisionnement."
ADM 3705 La simulation pour l'analytique de gestion (3 crédits),Modélisation de problèmes complexes avec des simulations qui comportent des éléments déterministes et probabilistes. Les étudiants bénéficieront d'expériences pratiques en modélisant des problèmes de simulation et de décision avec des logiciels spécialisés. On développera aussi les habiletés à bien interpréter les résultats.
ADM 3708 Forage de données en gestion (3 crédits),"Introduction à la modélisation de processus de forage de données, tâches d'extraction de données, y compris les règles de classification, d'agrégation et d'association, ainsi que les outils et techniques de construction de modèles d'extraction de connaissances, tels que les arbres de décision, les réseaux neuronaux et les analyses de régression. Introduction aux données massives et à l'analytique de données massives. Modélisation de processus d'exploration de données. Exemples dans plusieurs contextes d'application d'affaires, tels que la gestion de la relation client, le marketing, les ventes, l'évaluation du crédit, les taux de désabonnement et les analyses de survie."
ADM 3713 Création d'une nouvelle entreprise (3 crédits),"L'idéation, la modélisation d'entreprise et la validation; le processus de planification du lancement d'une nouvelle entreprise, dont : l'évaluation du marché et le plan de marketing, la planification des ressources humaines, matérielles, organisationnelles et  financières. Projets des étudiants visant à faire évoluer une idée d'affaires vers sa planification en passant par la création de l'idée,  le développement d'un modèle d'affaires, la validation du modèle et l'écriture d'un plan d'affaires."
ADM 3715 Entrepreneuriat social (3 crédits),"L’idéation, la modélisation et la validation d’une entreprise sociale; l’étude de faisabilité et le processus de planification, y compris : l’évaluation des besoins, l’évaluation du marché, le plan de marketing, la planification des ressources humaines, matérielles, organisationnelles et financières; et l’évaluation de l’impact social et environnemental. Inclut des projets étudiants visant à faire évoluer un concept réel d’entreprise social de l’idéation à la planification, y compris : conception d’une entreprise sociale ou d’une idée de projet, bâtir un modèle d’entreprise sociale; mettre en place un plan de validation qui considère les impacts de l’entreprise sociale; et construire un plan de faisabilité."
ADM 3716 Veille concurrentielle (3 crédits),"Éléments constitutifs du processus de veille concurrentielle et compréhension des enjeux de base. Seront examinés les concepts de veille concurrentielle, de connaissance du marché, d'anticipation, de vision périphérique et de l'analytique afin de mieux comprendre et utiliser les informations commerciales pertinentes."
ADM 3717 Variétés de capitalisme: depuis les marchands médiévaux jusqu'aux multinationales modernes (3 crédits),"Examiner et évaluer les pratiques des marchands, commerçants, entrepreneurs, financiers, négociants, et mercantilistes du XVe au XIXe siècle qui ont contribué au développement des affaires et du commerce mondial. Mettre en évidence l'entrelacement dynamique des marchés et leur contexte social, technologique, politique, économique et culturel par l'analyse et la discussion des ouvrages, des études de cas et d'autres sources."
